Name,URL,Scientific name,Description,Habitat,Diet
Honey Badger,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351459/Honey_Badger_nmsfin.png,Mellivora capensis,"Ratels, also known as honey badgers, are muscular and compact, have a thick skull, a well-developed neck and shoulders, and strong forelegs armed with massive claws for digging. The striking pattern of the black lower body and white upper-body fur extends to the tail. It has internal ears that can be closed to keep out dirt while digging.",Dense forest to open plains,Omnivorous
Rhinoceros,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351468/Rhinoceros_f1yzpr.png,Black: Diceros bicornis White: Ceratotherium simum,"Rhinos may look like prehistoric creatures, and they do date back millions of years to the Miocene era, but they are also mammals like us. There are two species of African rhinos, the white rhino and black rhino, and each is distinct in its own way. The white, or square-lipped, rhino derives its name from the Dutch word “weit,” meaning wide. It is actually gray in color and has a hump on its neck and a long face. The black, or hooked-lipped, rhino has a thick, hairless gray hide. Both rhinos have two horns.",Grassland and open savanna,Herbivorous
Roan Antelope,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351465/Roan_Antelope_buip1m.png,Hippotragus equinus,"The roan antelope is one of Africa’s largest bovids, only exceeded in size by the African buffalo and eland. It has a grey or brown coat, a black-and-white clown-like facemask — that is darker in males than females — and long, tasseled ears. Both sexes have backward-curving horns, although they are shorter in the females.","Savannas, woodlands, and grasslands",Herbivorous
Sable,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351466/Sable_um8gvi.png,Hippotragus niger,"The sable is a rotund, barrel-chested antelope with a short neck, long face, and dark mane. Both males and females boast impressive ringed horns that rise vertically and curve backward. When they arch their necks and stand with their heads held high and tails outstretched, they resemble horses. This flexed-neck position makes sables appear larger than they really are. The males maintain this position even when they gallop, as the arched neck is an important manifestation of dominance.  As they grow older, sables change color. Calves are born reddish-brown, with virtually no markings. As they age, the white markings appear, and the rest of the coat gets darker — the older the animal, the more striking the contrast.",Savanna woodlands,Herbivorous
Serval,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351467/Serval_w5ggql.png,Leptailurus serval,"Servals are medium-sized wild cats with tawny, black-spotted coats and long necks and long legs that allow them to see over savanna grasses. They also have large ears and an acute sense of hearing.",Savannas,Carnivorous
Sitatunga,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351468/Sitatunga_vlg2le.png,Tragelaphus spekii,"The sitatunga is a rare swamp-dwelling antelope. It is distinguished by its long, splayed hooves. These hooves make them clumsy and vulnerable on firm terrain but well-adapted for walking through muddy, vegetated swamplands. Their shaggy, oily coat is another adaptation to an aquatic habitat. The males' coats are grayish-brown, while the females' are a reddish-chocolate brown, with six to eight vertical white stripes on the body. Males are also considerably larger than females and have long, twisting horns.","Aquatic, wetlands",Herbivorous
Springhare,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351468/Springhare_i4hxtj.png,Pedetes capensis,"This unusual rodent species, which appears to be a cross between a kangaroo and a rabbit, has caused scientists much confusion. Springhares were once grouped with jerboas (jumping rodents), then with porcupines, then with scaly-tailed squirrels, until finally they were allotted their own family.  Their large back legs enable them to make gigantic leaps, using their long tail for balance. Their much smaller forelimbs have very sharp claws, which they use to dig. The springhare also possesses a flap of skin at the base of the ear that can be completely closed to prevent sand from getting into the inner ear.",Dry savannas,Herbivorous
Thomson's Gazelle,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351467/Thomson_s_Gazelle_xotpp1.png,Gazella thomsonii,"These small gazelles, named for researcher Joseph Thomson, have light-brown coats with dark stripes running down their sides, a white patch on their rumps extending underneath the tail, and ridged horns that curve backward. Females may have shorter, smoother, and slimmer horns than males or none at all. Grant’s gazelles are sometimes confused with Thomson’s. However, Thomson’s is distinguished from Grant’s by its smaller size and the white patch on its rump. On Grant’s gazelles, the patch always extends above the tail.",Open plains and grassland,Herbivorous
Topi,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351468/Topi_hhnthc.png,Damaliscus lunatus,"They are medium­-sized antelopes with a striking reddish-brown to purplish-red coat. Distinct black patches appear on their face, their upper forelegs, and on their hips and thighs. To complete their singular appearance, the topi's yellowish-tan legs look like they are encased in stockings.  Although not quite as large as their relative the hartebeest (kongoni), topis have a similar body shape. However, it does not have such a long, narrow head, nor are they as high at the shoulder. Female topis are usually lighter in color than the males. Both sexes have thick, heavily ringed, lyre-shaped horns that are about  30 to 40 centimeters long (11 to 16 inches). Topis have good sight and hearing and can run quite fast with a bounding gait.",Floodplains and grasslands,Herbivorous
Vervet Monkey,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351473/Warthog_blr9qz.png,Cercopithecus aethiops,"The vervet is a small, black-faced monkey, common in East Africa. There are several subspecies of vervet monkeys, but, generally, the body is a greenish-olive or silvery-gray. The face, ears, hands, feet, and the tip of the tail are black, but a conspicuous white band on the forehead blends in with the short whiskers. The males are slightly larger than the females and easily recognized by a turquoise-blue scrotum and red penis. The vervet is classified as a medium- to a large-sized monkey. The tail is usually held up, with the tip curving downward, and the arms and legs are approximately equal lengths.","Woodland, savanna, high bush",Omnivorous
Vulture,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351469/Vulture_vwgbli.png,Egyptian Vulture: Neophron percnopterus; Hooded Vulture: Necrosyrtes monachus; White-backed Vulture: Gyps africanus; Rüppell’s Vulture: Gyps reuppelli,"Vultures vary in size and appearance depending on their species. Colors range from white to brown to black with white accents, and many species have a bare crown, face and neck, accompanied by a neat or scraggly ruff of feathers.  The IUCN Red List identifies two species, the Egyptian vulture and the lappet-faced vulture, as endangered. Four species are critically endangered: the hooded vulture, the white-headed vulture, Rüppell's vulture, and the white-backed vulture.","Mountains, savanna, woodlands, desert",Mostly carnivorous
Warthog,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351473/Warthog_blr9qz.png,Phacochoerus aethiopicus (desert/cape warthog); Phacochoerus africanus (common warthog),"The warthog is a tough, sturdy animal. Males weigh 9 to 23 kilograms (20 to 50 pounds) more than females, but both are distinguished by disproportionately large heads and “warts” — thick protective pads that appear on both sides of the head. Their large tusks are unusual: the two upper tusks emerge from the sides of the snout to form a semicircle; the lower tusks, at the base of the uppers, are worn to a sharp-cutting edge. Sparse bristles cover their body, and longer bristles form a mane from the top of the head down the spine to the middle of the back. Their long tail ends with a tuft of bristles. Warthogs characteristically carry their tails upright when they run, the tuft waving like a tiny flag.",Savanna,Omnivorous
Waterbuck,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351471/Waterbuck_azkt1z.png,Waterbuck (Kobus ellipsiprymnus); Common waterbuck (Kobus ellipsiprymnus ssp.ellipsiprymnus); Defassa waterbuck (Kobus ellipsiprymnus ssp. defassa),"These antelopes are large, robust animals; males are generally about 25 percent larger than the females. They have large, rounded ears and white patches above the eyes, around the nose and mouth, and on the throat. Only the males have horns, which are prominently ringed and as long as 100 centimeters (40 inches). The horns are widely spaced and curve gracefully back and up. They are sometimes used with lethal results when males fight one another over territories.  They have a shaggy brown­-gray coat that emits a smelly, oily secretion thought to be for waterproofing. In East Africa, two types occur: the common waterbuck and the defassa waterbuck, distinguished only by the white pattern on the rump. The common waterbuck has a conspicuous white ring encircling a dark rump, while the defassa has wide white patches on either side of the rump.","Savanna grasslands, riverine forests, woodlands",Herbivorous
Wattled Crane,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351471/Wattled_Crane_vo76ce.png,Bugeranus carunculatus,"The wattled crane is a large bird with a long white neck, gray body, black undersides, and a bare red face with a black “cap.” Their name comes from the white wattles that dangle from its throat. The crane’s secondary, inner-wing feathers are elongated and look like a tail when the crane is standing.","Open wetlands, moist grasslands, and seasonal floodplains",Omnivorous
Wildebeest,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351476/Wildebeest_eldin6.png,Connochaetes taurinus,"Also known as the gnu, the wildebeest is a member of the antelope family. They have a large, box-like head with curving horns. The front end of their body is heavily built, while the hindquarters are slender with spindly legs. They have a gray coat and a black mane as well as a beard that can be black or white. There are several races of wildebeest. The species forming the large herds of the Serengeti-Mara ecosystem of Kenya and Tanzania is known as the western white-bearded wildebeest, while the eastern white-bearded races inhabit Kenya and Tanzania east of the Gregory Rift. The brindled, or blue, race occurs south of the Zambezi River.","Open woodlands, open grassy plains",Herbivorous
